[07/08/25 23:50:38] - Connection closed, reconnecting . . .
[07/08/25 23:57:46] - Connection closed, reconnecting . . .
[07/08/25 23:57:47] - Connection closed, reconnecting . . .
[07/08/25 23:57:49] - Connection closed, reconnecting . . .
[08/08/25 00:04:57] - Connection closed, reconnecting . . .
[08/08/25 00:04:58] - Connection closed, reconnecting . . .
[08/08/25 00:04:58] - Connection closed, reconnecting . . .
[08/08/25 00:12:08] - Connection closed, reconnecting . . .
[08/08/25 00:12:08] - Connection closed, reconnecting . . .
[08/08/25 00:12:08] - Connection closed, reconnecting . . .
[08/08/25 00:19:19] - Connection closed, reconnecting . . .
[08/08/25 00:19:19] - Connection closed, reconnecting . . .
[08/08/25 00:19:20] - Connection closed, reconnecting . . .
[08/08/25 00:26:30] - Connection closed, reconnecting . . .
[08/08/25 00:26:31] - Connection closed, reconnecting . . .
[08/08/25 00:26:31] - Connection closed, reconnecting . . .
[08/08/25 00:33:40] - Connection closed, reconnecting . . .
[08/08/25 00:33:41] - Connection closed, reconnecting . . .
[08/08/25 00:33:41] - Connection closed, reconnecting . . .
[08/08/25 00:40:52] - Connection closed, reconnecting . . .
[08/08/25 00:40:52] - Connection closed, reconnecting . . .
[08/08/25 00:40:53] - Connection closed, reconnecting . . .
[08/08/25 00:48:03] - Connection closed, reconnecting . . .
[08/08/25 00:48:03] - Connection closed, reconnecting . . .
[08/08/25 00:48:04] - Connection closed, reconnecting . . .
[08/08/25 00:55:14] - Connection closed, reconnecting . . .
[08/08/25 00:55:14] - Connection closed, reconnecting . . .
[08/08/25 00:55:14] - Connection closed, reconnecting . . .
[08/08/25 01:02:25] - Connection closed, reconnecting . . .
[08/08/25 01:02:25] - Connection closed, reconnecting . . .
[08/08/25 01:02:25] - Connection closed, reconnecting . . .
[08/08/25 01:09:35] - Connection closed, reconnecting . . .
[08/08/25 01:09:36] - Connection closed, reconnecting . . .
[08/08/25 01:09:36] - Connection closed, reconnecting . . .
[08/08/25 01:16:46] - Connection closed, reconnecting . . .
[08/08/25 01:16:46] - Connection closed, reconnecting . . .
[08/08/25 01:16:46] - Connection closed, reconnecting . . .
[08/08/25 01:23:56] - Connection closed, reconnecting . . .
[08/08/25 01:23:56] - Connection closed, reconnecting . . .
[08/08/25 01:23:56] - Connection closed, reconnecting . . .
[08/08/25 05:22:28] - Connection closed, reconnecting . . .
[08/08/25 05:22:28] - Connection closed, reconnecting . . .
[08/08/25 05:22:28] - Connection closed, reconnecting . . .
[08/08/25 06:56:07] - Connection closed, reconnecting . . .
[08/08/25 06:56:07] - Connection closed, reconnecting . . .
[08/08/25 06:56:07] - Connection closed, reconnecting . . .
[08/08/25 07:02:16] - Connection closed, reconnecting . . .
[08/08/25 07:02:16] - Connection closed, reconnecting . . .
[08/08/25 07:02:16] - Connection closed, reconnecting . . .
[08/08/25 07:09:32] - Connection closed, reconnecting . . .
[08/08/25 07:09:32] - Connection closed, reconnecting . . .
[08/08/25 07:09:32] - Connection closed, reconnecting . . .
[08/08/25 07:16:43] - Connection closed, reconnecting . . .
[08/08/25 07:16:43] - Connection closed, reconnecting . . .
[08/08/25 07:16:44] - Connection closed, reconnecting . . .
[08/08/25 07:22:39] - Connection closed, reconnecting . . .
[08/08/25 07:24:00] - Connection closed, reconnecting . . .
[08/08/25 07:24:00] - Connection closed, reconnecting . . .
[08/08/25 07:24:01] - Connection closed, reconnecting . . .
[08/08/25 07:29:51] - Connection closed, reconnecting . . .
[08/08/25 07:31:12] - Connection closed, reconnecting . . .
[08/08/25 07:31:12] - Connection closed, reconnecting . . .
[08/08/25 07:31:12] - Connection closed, reconnecting . . .
[08/08/25 07:37:12] - Connection closed, reconnecting . . .
[08/08/25 07:38:30] - Connection closed, reconnecting . . .
[08/08/25 07:38:31] - Connection closed, reconnecting . . .
[08/08/25 07:38:31] - Connection closed, reconnecting . . .
[08/08/25 07:44:26] - Connection closed, reconnecting . . .
[08/08/25 07:45:44] - Connection closed, reconnecting . . .
[08/08/25 07:45:44] - Connection closed, reconnecting . . .
[08/08/25 07:45:44] - Connection closed, reconnecting . . .
[08/08/25 07:51:41] - Connection closed, reconnecting . . .
[08/08/25 07:52:57] - Connection closed, reconnecting . . .
[08/08/25 07:52:58] - Connection closed, reconnecting . . .
[08/08/25 07:52:58] - Connection closed, reconnecting . . .
[08/08/25 07:58:54] - Connection closed, reconnecting . . .
[08/08/25 08:00:09] - Connection closed, reconnecting . . .
[08/08/25 08:00:09] - Connection closed, reconnecting . . .
[08/08/25 08:00:10] - Connection closed, reconnecting . . .
[08/08/25 08:06:06] - Connection closed, reconnecting . . .
[08/08/25 08:07:24] - Connection closed, reconnecting . . .
[08/08/25 08:07:24] - Connection closed, reconnecting . . .
[08/08/25 08:07:24] - Connection closed, reconnecting . . .
[08/08/25 08:13:19] - Connection closed, reconnecting . . .
[08/08/25 08:14:37] - Connection closed, reconnecting . . .
[08/08/25 08:14:38] - Connection closed, reconnecting . . .
[08/08/25 08:14:38] - Connection closed, reconnecting . . .
[08/08/25 08:20:33] - Connection closed, reconnecting . . .
[08/08/25 08:21:53] - Connection closed, reconnecting . . .
[08/08/25 08:21:53] - Connection closed, reconnecting . . .
[08/08/25 08:21:54] - Connection closed, reconnecting . . .
[08/08/25 08:27:49] - Connection closed, reconnecting . . .
[08/08/25 08:29:06] - Connection closed, reconnecting . . .
[08/08/25 08:29:07] - Connection closed, reconnecting . . .
[08/08/25 08:29:07] - Connection closed, reconnecting . . .
[08/08/25 08:35:03] - Connection closed, reconnecting . . .
[08/08/25 08:36:20] - Connection closed, reconnecting . . .
[08/08/25 08:36:20] - Connection closed, reconnecting . . .
[08/08/25 08:36:21] - Connection closed, reconnecting . . .
[08/08/25 08:42:15] - Connection closed, reconnecting . . .
[08/08/25 08:43:31] - Connection closed, reconnecting . . .
[08/08/25 08:43:31] - Connection closed, reconnecting . . .
[08/08/25 08:43:31] - Connection closed, reconnecting . . .
[08/08/25 08:49:27] - Connection closed, reconnecting . . .
[08/08/25 08:50:43] - Connection closed, reconnecting . . .
[08/08/25 08:50:43] - Connection closed, reconnecting . . .
[08/08/25 08:50:44] - Connection closed, reconnecting . . .
[08/08/25 08:56:41] - Connection closed, reconnecting . . .
[08/08/25 08:57:57] - Connection closed, reconnecting . . .
[08/08/25 08:57:57] - Connection closed, reconnecting . . .
[08/08/25 08:58:00] - Connection closed, reconnecting . . .
[08/08/25 09:03:53] - Connection closed, reconnecting . . .
[08/08/25 09:23:22] - Connection closed, reconnecting . . .
[08/08/25 09:23:22] - Connection closed, reconnecting . . .
[08/08/25 09:23:22] - Connection closed, reconnecting . . .
[08/08/25 09:37:13] - Connection closed, reconnecting . . .
[08/08/25 09:39:36] - Connection closed, reconnecting . . .
[08/08/25 09:39:36] - Connection closed, reconnecting . . .
[08/08/25 09:39:36] - Connection closed, reconnecting . . .
[08/08/25 09:48:16] - Connection closed, reconnecting . . .
[08/08/25 09:48:16] - Connection closed, reconnecting . . .
[08/08/25 09:48:17] - Connection closed, reconnecting . . .
[08/08/25 09:48:17] - Connection closed, reconnecting . . .
[08/08/25 09:55:34] - Connection closed, reconnecting . . .
[08/08/25 09:55:34] - Connection closed, reconnecting . . .
[08/08/25 09:55:34] - Connection closed, reconnecting . . .
[08/08/25 09:55:34] - Connection closed, reconnecting . . .
